,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC
0,26.0,8.0,37.0,24.0,30.0,62.0,43.0,43.0,22.0,36.0,5.0,28.0,39.0,37.0,41.0,46.0,35.0,18.0,41.0,29.0,41.0,33.0,48.0,15.0,34.0,45.0,29.0,23.0,48.0,27.0,31.0,40.0,32.0,43.0,22.0,50.0,63.0,37.0,36.0,36.0,52.0,23.0,35.0,31.0,100.0,41.0,54.0,37.0,49.0,17.0,42.0
1,17.0,73.0,44.0,31.0,31.0,72.0,47.0,42.0,28.0,36.0,36.0,74.0,40.0,42.0,42.0,43.0,34.0,20.0,88.0,41.0,50.0,35.0,60.0,10.0,40.0,81.0,49.0,21.0,57.0,39.0,37.0,46.0,41.0,55.0,42.0,36.0,62.0,43.0,56.0,38.0,41.0,30.0,35.0,66.0,100.0,42.0,69.0,24.0,60.0,40.0,27.0
2,38.0,70.0,55.0,50.0,38.0,88.0,59.0,83.0,36.0,42.0,29.0,64.0,58.0,43.0,70.0,64.0,30.0,34.0,72.0,53.0,81.0,58.0,62.0,25.0,58.0,41.0,45.0,39.0,76.0,50.0,48.0,58.0,52.0,58.0,44.0,54.0,95.0,54.0,78.0,64.0,36.0,44.0,47.0,79.0,100.0,53.0,71.0,51.0,63.0,80.0,63.0
3,30.0,40.0,55.0,47.0,40.0,86.0,64.0,43.0,39.0,41.0,38.0,63.0,55.0,43.0,69.0,62.0,46.0,40.0,64.0,51.0,70.0,57.0,74.0,36.0,53.0,88.0,42.0,40.0,96.0,54.0,65.0,54.0,56.0,86.0,48.0,46.0,87.0,61.0,61.0,47.0,57.0,46.0,46.0,59.0,86.0,49.0,80.0,48.0,69.0,100.0,55.0
4,36.0,59.0,47.0,40.0,36.0,86.0,60.0,46.0,34.0,39.0,31.0,75.0,53.0,47.0,49.0,51.0,32.0,23.0,100.0,41.0,63.0,53.0,69.0,32.0,48.0,71.0,55.0,37.0,72.0,48.0,40.0,50.0,42.0,69.0,41.0,38.0,84.0,47.0,65.0,31.0,45.0,39.0,40.0,56.0,92.0,34.0,76.0,41.0,55.0,58.0,53.0
5,38.0,53.0,62.0,39.0,37.0,91.0,66.0,39.0,37.0,46.0,35.0,70.0,56.0,53.0,59.0,54.0,42.0,30.0,89.0,48.0,72.0,54.0,73.0,37.0,50.0,68.0,54.0,44.0,91.0,49.0,60.0,53.0,47.0,44.0,48.0,47.0,100.0,50.0,67.0,42.0,73.0,47.0,49.0,59.0,66.0,29.0,78.0,37.0,61.0,70.0,49.0
6,40.0,73.0,63.0,50.0,35.0,96.0,63.0,39.0,38.0,46.0,38.0,75.0,59.0,55.0,54.0,56.0,41.0,33.0,82.0,58.0,68.0,58.0,78.0,48.0,59.0,79.0,50.0,56.0,92.0,52.0,62.0,56.0,55.0,55.0,57.0,51.0,100.0,52.0,67.0,46.0,71.0,51.0,46.0,71.0,65.0,30.0,88.0,45.0,70.0,82.0,55.0
7,33.0,63.0,58.0,46.0,45.0,84.0,50.0,45.0,37.0,41.0,36.0,75.0,53.0,47.0,51.0,52.0,39.0,31.0,78.0,46.0,58.0,51.0,63.0,33.0,44.0,71.0,54.0,46.0,73.0,42.0,53.0,48.0,49.0,48.0,47.0,45.0,100.0,47.0,59.0,41.0,58.0,45.0,43.0,68.0,78.0,47.0,78.0,40.0,60.0,67.0,54.0
8,39.0,64.0,63.0,49.0,51.0,88.0,57.0,52.0,46.0,48.0,41.0,76.0,57.0,52.0,53.0,57.0,45.0,39.0,81.0,47.0,69.0,53.0,75.0,36.0,54.0,88.0,54.0,49.0,82.0,47.0,56.0,51.0,58.0,52.0,53.0,52.0,100.0,56.0,64.0,42.0,65.0,53.0,45.0,65.0,94.0,52.0,86.0,38.0,65.0,72.0,54.0
9,43.0,73.0,63.0,51.0,54.0,91.0,66.0,58.0,48.0,49.0,52.0,80.0,58.0,56.0,59.0,60.0,47.0,40.0,89.0,55.0,74.0,65.0,82.0,38.0,61.0,92.0,65.0,58.0,87.0,55.0,66.0,57.0,58.0,68.0,54.0,56.0,60.0,59.0,73.0,47.0,71.0,57.0,45.0,69.0,100.0,61.0,89.0,44.0,72.0,74.0,58.0
10,46.0,78.0,69.0,51.0,59.0,99.0,74.0,63.0,56.0,51.0,60.0,87.0,64.0,62.0,68.0,56.0,55.0,47.0,96.0,60.0,81.0,68.0,85.0,45.0,64.0,97.0,67.0,64.0,99.0,63.0,66.0,64.0,66.0,71.0,67.0,65.0,63.0,68.0,79.0,53.0,71.0,60.0,50.0,83.0,100.0,47.0,91.0,52.0,79.0,75.0,68.0
11,44.0,69.0,67.0,52.0,56.0,91.0,76.0,62.0,54.0,52.0,55.0,84.0,65.0,60.0,66.0,51.0,57.0,42.0,91.0,58.0,78.0,64.0,83.0,45.0,60.0,84.0,70.0,54.0,100.0,62.0,60.0,64.0,55.0,74.0,62.0,62.0,69.0,62.0,74.0,49.0,71.0,58.0,47.0,80.0,90.0,38.0,83.0,53.0,73.0,68.0,66.0
12,46.0,75.0,71.0,45.0,58.0,99.0,83.0,58.0,54.0,56.0,55.0,85.0,72.0,60.0,68.0,65.0,57.0,42.0,98.0,57.0,83.0,75.0,87.0,41.0,67.0,90.0,73.0,59.0,97.0,62.0,65.0,70.0,62.0,75.0,66.0,61.0,91.0,68.0,77.0,50.0,75.0,61.0,52.0,85.0,100.0,63.0,88.0,53.0,79.0,78.0,75.0
